LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,SLICE_ID,SLICE_NAME,GENERAL,MEAN_HYPSODONTY,nb_orders,nb_genera,nb_spec,nb_spec_all,Cimolesta_genera,Didelphimorphia_genera,Eulipotyphla_genera,Lagomorpha_genera,Leptictida_genera,Rodentia_genera,Cimolesta,Didelphimorphia,Eulipotyphla,Lagomorpha,Leptictida,Rodentia,Cimolesta_Sinclairella,Didelphimorphia_Nanodelphys,Eulipotyphla_Achlyoscapter,Eulipotyphla_Adeloblarina,Eulipotyphla_Alluvisorex,Eulipotyphla_Amphechinus,Eulipotyphla_Anchiblarinella,Eulipotyphla_Angustidens,Eulipotyphla_Ankylodon,Eulipotyphla_Antesorex,Eulipotyphla_Apternodus,Eulipotyphla_Arctisorex,Eulipotyphla_Beckiasorex,Eulipotyphla_Brachyerix,Eulipotyphla_Centetodon,Eulipotyphla_Clinopternodus,Eulipotyphla_Condylura,Eulipotyphla_Crusafontina,Eulipotyphla_Cryptotis,Eulipotyphla_Domnina,Eulipotyphla_Domninoides,Eulipotyphla_Gaillardia,Eulipotyphla_Hesperosorex,Eulipotyphla_Ingentisorex,Eulipotyphla_Lantanotherium,Eulipotyphla_Lemoynea,Eulipotyphla_Limnoecus,Eulipotyphla_Mesoscalops,Eulipotyphla_Metechinus,Eulipotyphla_Micropternodus,Eulipotyphla_Mystipterus,Eulipotyphla_Notiosorex,Eulipotyphla_Ocajila,Eulipotyphla_Oligoryctes,Eulipotyphla_Oligoscalops,Eulipotyphla_Paracryptotis,Eulipotyphla_Paradomnina,Eulipotyphla_Parvericius,Eulipotyphla_Petenyia,Eulipotyphla_Planisorex,Eulipotyphla_Plesiosorex,Eulipotyphla_Proscalops,Eulipotyphla_Proterix,Eulipotyphla_Pseudotrimylus,Eulipotyphla_Quadrodens,Eulipotyphla_Scalopoides,Eulipotyphla_Scalopus,Eulipotyphla_Scapanoscapter,Eulipotyphla_Scapanus,Eulipotyphla_Sorex,Eulipotyphla_Stenoechinus,Eulipotyphla_Tregosorex,Eulipotyphla_Untermannerix,Eulipotyphla_Wilsonosorex,Eulipotyphla_Yanshuella,Lagomorpha_Alilepus,Lagomorpha_Aluralagus,Lagomorpha_Archaeolagus,Lagomorpha_Aztlanolagus,Lagomorpha_Cuyamalagus,Lagomorpha_Desmatolagus,Lagomorpha_Gripholagomys,Lagomorpha_Hesperolagomys,Lagomorpha_Hypolagus,Lagomorpha_Lepoides,Lagomorpha_Litolagus,Lagomorpha_Megalagus,Lagomorpha_Nekrolagus,Lagomorpha_Notolagus,Lagomorpha_Ochotona,Lagomorpha_Oklahomalagus,Lagomorpha_Oreolagus,Lagomorpha_Palaeolagus,Lagomorpha_Panolax,Lagomorpha_Paranotolagus,Lagomorpha_Pewelagus,Lagomorpha_Pratilepus,Lagomorpha_Procaprolagus,Lagomorpha_Pronotolagus,Lagomorpha_Russellagus,Lagomorpha_Sylvilagus,Leptictida_Leptictis,Rodentia_Abelmoschomys,Rodentia_Adjidaumo,Rodentia_Agnotocastor,Rodentia_Akmaiomys,Rodentia_Allomys,Rodentia_Alphagaulus,Rodentia_Alwoodia,Rodentia_Ammospermophilus,Rodentia_Anchitheriomys,Rodentia_Ansomys,Rodentia_Apeomyoides,Rodentia_Apletotomeus,Rodentia_Arctomyoides,Rodentia_Arikareeomys,Rodentia_Baiomys,Rodentia_Balantiomys,Rodentia_Baranomys,Rodentia_Calomys,Rodentia_Campestrallomys,Rodentia_Capacikala,Rodentia_Capatanka,Rodentia_Castor,Rodentia_Cedromus,Rodentia_Ceratogaulus,Rodentia_Coloradoeumys,Rodentia_Comancheomys,Rodentia_Copemys,Rodentia_Cosomys,Rodentia_Cratogeomys,Rodentia_Crucimys,Rodentia_Cryptopterus,Rodentia_Cupidinimus,Rodentia_Cynomyoides,Rodentia_Dakotallomys,Rodentia_Dikkomys,Rodentia_Diplolophus,Rodentia_Dipodomys,Rodentia_Dipoides,Rodentia_Diprionomys,Rodentia_Downsimus,Rodentia_Ecclesimus,Rodentia_Entoptychus,Rodentia_Eoeumys,Rodentia_Epeiromys,Rodentia_Epigaulus,Rodentia_Erethizon,Rodentia_Eucastor,Rodentia_Euhapsis,Rodentia_Eumys,Rodentia_Euroxenomys,Rodentia_Eutypomys,Rodentia_Fanimus,Rodentia_Florentiamys,Rodentia_Fossorcastor,Rodentia_Galbreathia,Rodentia_Geomys,Rodentia_Geringia,Rodentia_Goniodontomys,Rodentia_Gregorymys,Rodentia_Haplomys,Rodentia_Harrymys,Rodentia_Heliscomys,Rodentia_Hesperogaulus,Rodentia_Hibbardomys,Rodentia_Hitonkala,Rodentia_Hystricops,Rodentia_Ischyromys,Rodentia_Jacobsomys,Rodentia_Jimomys,Rodentia_Kansasimys,Rodentia_Kirkomys,Rodentia_Korthomys,Rodentia_Leidymys,Rodentia_Leptodontomys,Rodentia_Leptoromys,Rodentia_Lignimus,Rodentia_Liodontia,Rodentia_Macrognathomys,Rodentia_Manitsha,Rodentia_Marmota,Rodentia_Megapeomys,Rodentia_Megasminthus,Rodentia_Meniscomys,Rodentia_Mesogaulus,Rodentia_Metadjidaumo,Rodentia_Microdipodops,Rodentia_Microdipoides,Rodentia_Mictomys,Rodentia_Migmacastor,Rodentia_Mioheteromys,Rodentia_Miosciurus,Rodentia_Miosicista,Rodentia_Miospermophilus,Rodentia_Mojavemys,Rodentia_Monosaulax,Rodentia_Mookomys,Rodentia_Mylagaulodon,Rodentia_Mylagaulus,Rodentia_Namatomys,Rodentia_Neatocastor,Rodentia_Nebraskomys,Rodentia_Neochoerus,Rodentia_Neotoma,Rodentia_Niglarodon,Rodentia_Nototamias,Rodentia_Ogmodontomys,Rodentia_Oligospermophilus,Rodentia_Oligotheriomys,Rodentia_Ondatra,Rodentia_Onychomys,Rodentia_Ophiomys,Rodentia_Oregonomys,Rodentia_Orelladjidaumo,Rodentia_Oropyctis,Rodentia_Paciculus,Rodentia_Paenemarmota,Rodentia_Palaearctomys,Rodentia_Palaeocastor,Rodentia_Paradjidaumo,Rodentia_Parallomys,Rodentia_Paramicrotoscoptes,Rodentia_Parapaenemarmota,Rodentia_Parapliosaccomys,Rodentia_Parapliosaceomys,Rodentia_Paratrogomys,Rodentia_Paronychomys,Rodentia_Pelycomys,Rodentia_Peridiomys,Rodentia_Perognathus,Rodentia_Peromyscus,Rodentia_Petauristodon,Rodentia_Phelosaccomys,Rodentia_Pipestoneomys,Rodentia_Plesiosminthus,Rodentia_Pleurolicus,Rodentia_Pliogeomys,Rodentia_Pliolemmus,Rodentia_Pliophenacomys,Rodentia_Pliosaccomys,Rodentia_Pliotomodon,Rodentia_Pliozapus,Rodentia_Procastoroides,Rodentia_Prodipodomys,Rodentia_Proheteromys,Rodentia_Promimomys,Rodentia_Promylagaulus,Rodentia_Prosciurus,Rodentia_Prosigmodon,Rodentia_Protopliophenacomys,Rodentia_Protosciurus,Rodentia_Protospermophilus,Rodentia_Pseudadjidaumo,Rodentia_Pseudocylindrodon,Rodentia_Pseudopalaeocastor,Rodentia_Pseudotheridomys,Rodentia_Pterogaulus,Rodentia_Reithrodontomys,Rodentia_Reithroparamys,Rodentia_Repomys,Rodentia_Reynoldsomys,Rodentia_Rudiomys,Rodentia_Sanctimus,Rodentia_Schizodontomys,Rodentia_Sciurion,Rodentia_Sciurus,Rodentia_Scottimus,Rodentia_Sespemys,Rodentia_Sewelleladon,Rodentia_Sigmodon,Rodentia_Similisciurus,Rodentia_Simimys,Rodentia_Spermophilus,Rodentia_Stratimus,Rodentia_Symmetrodontomys,Rodentia_Tamias,Rodentia_Tardontia,Rodentia_Tenudomys,Rodentia_Texomys,Rodentia_Thomomys,Rodentia_Tregomys,Rodentia_Trilaccogaulus,Rodentia_Trogomys,Rodentia_Umbogaulus,Rodentia_Wilsoneumys,Rodentia_Yatkolamys,Rodentia_Zapus,Rodentia_Zetamys,Rodentia_Ziamys,indet.
TOTALS,,,,,,,,,,6,270,862,885,1,1,53,26,1,188,2,3,146,77,4,653,2,2,2,2,3,2,1,1,2,2,2,1,1,4,6,1,1,2,5,4,6,2,2,1,3,2,3,2,5,1,4,2,2,2,2,2,1,3,2,1,5,6,3,4,1,3,5,1,4,10,1,1,1,3,1,3,2,7,1,1,2,1,3,13,1,1,6,2,3,1,1,6,7,1,1,1,2,1,3,2,2,4,3,5,4,1,7,4,3,5,5,2,1,1,2,2,7,3,1,8,4,3,3,2,3,2,1,1,12,1,2,1,1,14,1,2,2,1,4,7,3,2,1,12,1,1,1,1,7,5,6,2,5,2,7,2,2,10,2,1,7,2,6,4,3,1,2,3,5,4,3,2,2,1,11,4,2,4,3,3,1,3,1,3,4,3,3,1,3,1,1,4,2,1,4,6,8,5,1,5,1,3,2,1,7,3,3,4,2,3,2,5,6,4,1,1,3,5,1,6,4,1,1,2,2,1,1,1,3,3,14,9,5,5,1,6,3,5,1,5,4,1,1,3,11,13,2,2,5,4,1,4,7,6,2,2,4,2,3,1,4,1,1,4,5,2,1,6,2,1,4,1,1,21,1,2,2,3,6,2,2,3,1,2,2,2,2,3,2,2,23
10034,California CC9C,34.28333333,-118.9166667,29.75,28.0,2,Arikareean-1,n,1.36,2,2,2,3,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10035,California CC9D,34.321667,-118.786111,29.75,28.0,2,Arikareean-1,y,1.22,2,3,3,3,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10038,California CC9IIIA,34.248333,-118.813056,29.75,28.0,2,Arikareean-1,n,\N,3,3,3,4,0,0,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10039,California CC9IIIB,38.555605,-121.468926,18.5,17.34,6,Hemingfordian-1,y,\N,2,3,3,3,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10041,California CC9IVB,33.716944,-117.695833,29.75,28.0,2,Arikareean-1,n,3.00,1,3,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043,California CC9IVD,38.555605,-121.468926,18.5,17.34,6,Hemingfordian-1,y,1.71,2,11,12,12,0,0,0,2,0,9,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10045,California CC10II,38.555605,-121.468926,33.9,32.1,0,Orellan,n,\N,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10048,California CC12,40.66666667,-117.9583333,29.75,28.0,2,Arikareean-1,n,1.80,3,7,7,8,0,0,2,1,0,4,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10049,California CC13,34.918056,-118.965,28.0,22.2,3,Arikareean-2,n,1.00,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
